Summary;Issue Type;Status;Priority;Created;Updated;Last Viewed;Description
In order to have multiple connections (like in case of out-of-band connections) between the controller and a switch, we need to have support for auxiliary channel in ONOS (defined in openflow spec 1.3);Epic;Open;Major;06/Nov/17 10:20 AM;06/Nov/17 10:20 AM;03/Oct/23 11:27 AM;Additional ports can be defined for Openflow channel due to various reasons (redundancy, load balancing). Openflow connection established through additional ports is called auxiliary connection. By defining auxiliary connection, we have multiple connections (Openflow channel) between a single switch and a controller.  In order to make OpenFlow communication via the auxiliary port, the main channel connection must first be established. If the main channel connection is off, the auxiliary connections are also cannot used. In case of functionally, there is no difference between main channel connection and auxiliary connection.
Flows stuck on pending_add after bring the link down;Bug;Closed;Major;23/Oct/17 11:09 PM;28/Oct/17 11:43 PM;03/Oct/23 11:27 AM;"When using Null providers to test intent rerouting, once we bring down the links to test the reroute, flows stuck on pending_add state. 

It turns out that we have had this issue since 1.10. 

We do not have this issue on 1.9.

 

Only patchset that did not have this issue was from 1.10.0-rc1
{noformat}
onos> push-test-intents -i null:0000000000000001/0 null:0000000000000003/0 1 1
Time to install 1 intents: 67 ms
onos> flows -c added
deviceId=null:0000000000000001, flowRuleCount=1
deviceId=null:0000000000000002, flowRuleCount=1
deviceId=null:0000000000000003, flowRuleCount=1
deviceId=null:0000000000000004, flowRuleCount=0
onos> flows -c pending_add
deviceId=null:0000000000000001, flowRuleCount=0
deviceId=null:0000000000000002, flowRuleCount=0
deviceId=null:0000000000000003, flowRuleCount=0
deviceId=null:0000000000000004, flowRuleCount=0
onos> null-link null:0000000000000001/1 null:0000000000000002/1 down
onos> flows -c added
deviceId=null:0000000000000001, flowRuleCount=0
deviceId=null:0000000000000002, flowRuleCount=1
deviceId=null:0000000000000003, flowRuleCount=1
deviceId=null:0000000000000004, flowRuleCount=1
onos> flows -c pending_add
deviceId=null:0000000000000001, flowRuleCount=1
deviceId=null:0000000000000002, flowRuleCount=0
deviceId=null:0000000000000003, flowRuleCount=0
deviceId=null:0000000000000004, flowRuleCount=0{noformat}"
DeviceDescription is not re-queried when Device reconnects after a disconnection in NetconfDeviceProvider;Bug;Resolved;Major;23/Oct/17 1:50 PM;30/Nov/17 9:09 PM;03/Oct/23 11:27 AM;"I've put a log in both discoverDeviceDetails and discoverPortDetails of my driver's DeviceDescriptionDiscovery implementation.
I add a device and I see:
2017-10-20 20:52:07,825 | INFO  | vice-installer-1 | DeviceManager          | Device netconf:10.79.24.34:901 registered
2017-10-20 20:52:07,827 | INFO  | vice-installer-1 | XDeviceDescription     | Getting Device Details for netconf:10.79.24.34:901
2017-10-20 20:52:07,834 | INFO  | vice-installer-3 | XDeviceDescription     | Getting Port Details for netconf:10.79.24.34:901
which is fine. Then I remove the device via CLI:onos> device-remove netconf:10.79.24.34:901
After re-adding the same device, I see:
2017-10-20 20:59:05,744 | INFO  | vice-installer-0 | DeviceManager          | Device netconf:10.79.24.34:901 registered
2017-10-20 20:59:05,745 | INFO  | vice-installer-0 | XDeviceDescription     | Getting Port Details for netconf:10.79.24.34:901
2017-10-20 20:59:05,748 | INFO  | vice-installer-1 | XDeviceDescription     | Getting Port Details for netconf:10.79.24.34:901
Notice the 2 repeated logs are written in two different vice-installer threads.
It seems that the store is keeping some data on the device, even after being deleted, causing this weird behavior."
Meter Subsystem Refactoring;Story;Closed;Major;16/Oct/17 10:14 AM;03/Nov/17 7:32 AM;03/Oct/23 11:27 AM;In the same context, fix race conditions
Uncaught exception on onos-of-event-stats-16;Story;Open;Critical;11/Oct/17 8:38 PM;11/Oct/17 8:38 PM;03/Oct/23 11:27 AM;
Have common holder for common YANG files;Story;Closed;Major;06/Oct/17 12:08 PM;14/Oct/17 7:08 AM;03/Oct/23 11:27 AM;"1) Changes to yang.bucklet to pass deps to yang_library

2) Addition of common model

3) Changes to l3vpn to refer to common model

4) Addition of common app to register all the common models

5) Add a flag in YangModel and make necessary changes to registration/unregistration to make sure dependent models are not registered/unregistered during referring application activation/deactivation.

6) Add remaining common file, after making required modification to l3vpn."
Implement raft log check to the CHO events;Story;Closed;Major;12/Sep/17 6:37 PM;14/Sep/17 7:21 PM;03/Oct/23 11:27 AM;Add a new event to the CHO test that will implement the raft log check function.
Investigate and fix the PLATdockertest;Bug;Resolved;Major;11/Sep/17 11:52 PM;12/Sep/17 5:44 PM;03/Oct/23 11:27 AM;"Docker test has following errors:
[2017-09-10 22:11:08.003750] [PLATdockertest] [STEP]  110.5:  Deactivate an APP from REST and check APP status
2017-09-10 22:11:08,004 - PLATdockertest - INFO - Apps to deactivate: ['org.onosproject.proxyarp', 'org.onosproject.fwd']
2017-09-10 22:11:13,009 - PLATdockertest - INFO - user/passwd is: karaf/karaf
2017-09-10 22:11:13,009 - PLATdockertest - INFO - Sending request http://172.17.0.2:8181/onos/v1/applications/org.onosproject.proxyarp/active using DELETE method.
[91m2017-09-10 22:11:13,062 - PLATdockertest - ERROR - ONOSbenchRest: Object not as expected[0m
Traceback (most recent call last):
  File ""/home/sdn/OnosSystemTest/TestON/drivers/common/api/controller/onosrestdriver.py"", line 346, in deactivateApp
    app.get( 'state' ) + "" state"" )
TypeError: cannot concatenate 'str' and 'NoneType' objects
2017-09-10 22:11:18,068 - PLATdockertest - INFO - user/passwd is: karaf/karaf
2017-09-10 22:11:18,068 - PLATdockertest - INFO - Sending request http://172.17.0.2:8181/onos/v1/applications/org.onosproject.fwd/active using DELETE method.
[91m2017-09-10 22:11:18,605 - PLATdockertest - ERROR - ONOSbenchRest: Object not as expected[0m
Traceback (most recent call last):
  File ""/home/sdn/OnosSystemTest/TestON/drivers/common/api/controller/onosrestdriver.py"", line 346, in deactivateApp
    app.get( 'state' ) + "" state"" )
TypeError: cannot concatenate 'str' and 'NoneType' objects
[95m2017-09-10 22:11:18,605 - PLATdockertest - DEBUG - Apps deactivation result for org.onosproject.proxyarp,org.onosproject.fwd: [None, None][0m
2017-09-10 22:11:18,605 - PLATdockertest - INFO - Verifying the Expected is equal to the actual or not using assert_equal
[91m2017-09-10 22:11:18,606 - PLATdockertest - ERROR - Failed to deactivated apps correctly[0m"
web ui fails and other applications fails when onos instance goes down inside cluster;Story;Open;Critical;10/Sep/17 10:03 AM;10/Sep/17 10:04 AM;03/Oct/23 11:27 AM;"When one onos instance shutdown inside the cluster. While the other istance (two nodes cluster) continue running, but the web ui fails. Some applications inside onos fails. Example command: onos>apps -a -s 
result: command non found. 
You cannot do shutdown of the remaining onos instance. 
To force shutdown you have to force kill <pid> from linux OS."
Restore old DistributedFlowRuleStore for testing;Bug;Closed;Minor;08/Sep/17 7:03 PM;10/Nov/17 7:19 PM;03/Oct/23 11:27 AM;Replace the old {{DistributedFlowRuleStore}} as a backup store for testing.
Atomix 2.x timeouts;Bug;Closed;Blocker;08/Sep/17 6:56 PM;14/Sep/17 8:20 PM;03/Oct/23 11:27 AM;Prior to the 1.11 release, a bug was discovered in the Atomix log compaction timer that prevented compaction from being rescheduled after completion. This meant that ONOS nodes could eventually run out of disk space by being filled up with Raft commit logs. That issue is now fixed in Atomix 2.0.0. However, enabling more frequent log compaction has produced periodic pauses that cause arbitrary timeouts. We've rolled back the Atomix upgrade for the 1.11.0 release, but compaction needs to be restored for 1.11.1 and 1.12 ASAP.
Pipeliner implementation for tor.p4;Story;Resolved;Minor;05/Sep/17 7:00 AM;03/May/18 10:43 PM;03/Oct/23 11:27 AM;
Create Jenkins files for all the other tests.;Story;Closed;Minor;23/Aug/17 10:26 PM;14/Sep/17 7:19 PM;03/Oct/23 11:27 AM;Migrate all the Jenkins jobs to be run from Pipeline by making a Jenkins files.
onos-app does not reinstall apps correctly;Bug;Open;Major;23/Aug/17 2:29 PM;23/Aug/17 2:29 PM;03/Oct/23 11:27 AM;"Using the onos-app utility to reinstall and reactivate an application fails.
Steps to reproduce:
1) Install an app using onos-app <IP> install! app.oar. This works as expected with no errors.
2) Reinstall the app using onos-app <IP> reinstall! app.oar. This doesn't work as expected and app reinstallation/reactivation fails.
3) Subsequent reinstalls don't change the behavior and the app installation/activation fails.

The same behavior is seen when doing this through the onos-cli. The feature is not properly unloaded/uninstalled as it shows up on running feature:list even after the app has been uninstalled, while bundle:list and scr:list doesn't list the app."
onos-wait-for-start wait for timeout instead of wait for START LEVEL 100;Bug;Closed;Minor;23/Aug/17 8:49 AM;24/Aug/17 4:57 PM;03/Oct/23 11:27 AM;"For local user account same as remote user account, onos-secure-ssh can not push two key with same user account. Also, karaf reads only the last line of  key.properties for same user account, so we could not write two line with for two public keys for same user.
Because of above reason, onos-wait-for-start end up with waiting for user to type their password at remote then timeout instead of greping the ""START LEVEL 100"" in bundle:list.
To avoid this, I'd like to move the bundle:list check to local instead of doing it at remote ssh."
Consistency issue in distributed store (Cluster environment);Bug;Open;Major;22/Aug/17 6:06 AM;03/Sep/17 12:15 PM;03/Oct/23 11:27 AM;"From: https://groups.google.com/a/onosproject.org/forum/#!topic/onos-dev/QD_sAwnaK6I
I recently experienced that there was inconsistency of data in different ONOS controllers about a particular device where master device had the correct information while the other noded didn't.

Reproducible:
1) Make a cluster of three controllers:
 onos> nodes
id=192.168.10.138, address=192.168.10.138:9876, state=READY, updated=1h35m ago *
id=192.168.10.139, address=192.168.10.139:9876, state=READY, updated=1h35m ago
id=192.168.10.140, address=192.168.10.140:9876, state=READY, updated=1h34m ago
2) Add the controller configuration on a openflow switch on a Rest Server (like Cisco switch or Arista switch)
3) Add a few physical ports to the switch
4) Execute masters cli:
onos> masters
192.168.10.138: 1 devices
  of:000100c88b56a3af
192.168.10.139: 1 devices
  rest:192.168.10.235:80
192.168.10.140: 0 devices
5) Execute ports cli on all the three nodes and I found the same configuration
onos> ports of:000100c88b56a3af
id=of:000100c88b56a3af, available=true, local-status=connected 2m46s ago, role=MASTER, type=SWITCH, mfr=Cisco Systems, Inc., hw=N9K-C9372PX-E V01, sw=7.0(3)I2(2)| of_agent 2.1.5, serial=SAL2003X3R5, driver=default, channelId=192.168.10.235:59862, managementAddress=192.168.10.235, protocol=OF_13
  port=3, state=disabled, type=copper, speed=1410065 , portName=Eth1/3, portMac=00:c8:8b:56:a3:b2
  port=49, state=enabled, type=copper, speed=1345294 , portName=Eth1/49, portMac=00:c8:8b:56:a3:e0
  port=50, state=disabled, type=copper, speed=1345294 , portName=Eth1/50, portMac=00:c8:8b:56:a3:e1
  port=51, state=disabled, type=copper, speed=1345294 , portName=Eth1/51, portMac=00:c8:8b:56:a3:e2
5) Delete ports from the switch
The switch shows: No interfaces configured for the switch
Controller 1:192.168.10.138
---------------------
onos> ports of:000100c88b56a3af
id=of:000100c88b56a3af, available=true, local-status=connected 7m46s ago, role=MASTER, type=SWITCH, mfr=Cisco Systems, Inc., hw=N9K-C9372PX-E V01, sw=7.0(3)I2(2)| of_agent 2.1.5, serial=SAL2003X3R5, driver=default, channelId=192.168.10.235:59862, managementAddress=192.168.10.235, protocol=OF_13
onos>
---------------------

Controller 2: 192.168.10.139
-----------------------
onos> ports of:000100c88b56a3af
id=of:000100c88b56a3af, available=true, local-status=connected 8m22s ago, role=STANDBY, type=SWITCH, mfr=Cisco Systems, Inc., hw=N9K-C9372PX-E V01, sw=7.0(3)I2(2)| of_agent 2.1.5, serial=SAL2003X3R5, driver=ciscoof, channelId=192.168.10.235:59862, managementAddress=192.168.10.235, protocol=OF_13
  port=3, state=disabled, type=copper, speed=1410065 , portName=Eth1/3, portMac=00:c8:8b:56:a3:b2
  port=49, state=disabled, type=copper, speed=1345294 , portName=Eth1/49, portMac=00:c8:8b:56:a3:e0
  port=50, state=disabled, type=copper, speed=1345294 , portName=Eth1/50, portMac=00:c8:8b:56:a3:e1
  port=51, state=disabled, type=copper, speed=1345294 , portName=Eth1/51, portMac=00:c8:8b:56:a3:e2
onos>
------------------------

Controller 3: 192.168.10.140
--------------------------
onos> ports of:000100c88b56a3af
id=of:000100c88b56a3af, available=true, local-status=connected 9m12s ago, role=STANDBY, type=SWITCH, mfr=Cisco Systems, Inc., hw=N9K-C9372PX-E V01, sw=7.0(3)I2(2)| of_agent 2.1.5, serial=SAL2003X3R5, driver=default, channelId=192.168.10.235:59862, managementAddress=192.168.10.235, protocol=OF_13
  port=3, state=disabled, type=copper, speed=1410065 , portName=Eth1/3, portMac=00:c8:8b:56:a3:b2
  port=49, state=disabled, type=copper, speed=1345294 , portName=Eth1/49, portMac=00:c8:8b:56:a3:e0
  port=50, state=disabled, type=copper, speed=1345294 , portName=Eth1/50, portMac=00:c8:8b:56:a3:e1
  port=51, state=disabled, type=copper, speed=1345294 , portName=Eth1/51, portMac=00:c8:8b:56:a3:e2
onos>
--------------------------

6) For the master controller ports were removed, but the other controllers, it wasn't."
Make 1.11 version for the wiki and Jenkins.;Story;Closed;Major;21/Aug/17 8:23 PM;23/Aug/17 12:14 AM;03/Oct/23 11:27 AM;"Adding 1.11 documentation for the wiki page.
Adding 1.11 jobs for the Jenkins."
Services not found bug when executing CLI command after bring down/up ONOS several times.;Bug;Open;Major;21/Aug/17 8:08 PM;14/Aug/18 11:32 PM;03/Oct/23 11:27 AM;"Some of the CLI commands are not found after bring down/up ONOS several times. 
{noformat}
onos> intents
Service org.onosproject.net.intent.IntentService not found
onos> links
Service org.onosproject.net.link.LinkService not found
onos> summary
Service org.onosproject.net.link.LinkService not found
{noformat}

When checking the scr:list, some of the services were not satisfied:
{noformat}
onos> scr:list
ID  | State       | Component Name                                                                    
------------------------------------------------------------------------------------------------------
-1  | DISABLED    | org.onosproject.incubator.store.virtual.impl.DistributedVirtualPacketStore        
-1  | DISABLED    | org.onosproject.incubator.store.virtual.impl.DistributedVirtualFlowObjectiveStore 
4   | ACTIVE      | org.onosproject.net.intf.impl.InterfaceManager                                    
